FFQ	86	3	0	23	233	347	339	298	266	301	314	371	364	404	464	439	503	508	629	687	722	904	890	947	1078	1093	1395	1581	1547	1885	2132	2206	2324	2676	3123	3640	3998	4498	4677	6455	6984	9091	12434	15191	29547	95005	388224	0
FFQ	87	0	0	21	260	410	371	337	312	364	342	329	391	433	480	425	538	540	617	697	769	906	894	1020	1091	1156	1405	1602	1526	1872	2102	2230	2373	2699	3071	3726	4059	4581	4794	6866	7166	9125	12824	15456	30024	95235	385301	0
FFQ	88	0	0	18	252	365	329	299	335	296	326	300	395	395	486	438	493	516	594	733	695	799	908	972	1069	1133	1376	1566	1551	1833	2103	2205	2378	2691	3091	3609	3959	4691	4729	6654	6965	9163	12936	15130	29500	94092	388372	0
FFQ	89	0	0	15	274	376	334	341	343	302	318	354	354	435	461	425	519	521	659	686	741	883	894	961	1105	1047	1360	1562	1544	1818	2274	2208	2392	2694	2993	3652	4056	4746	4626	6687	6994	9111	13262	14989	29101	94675	387648	0
FFQ	90	64	0	22	251	370	313	311	303	301	354	303	365	458	509	443	498	558	595	710	773	857	827	964	1131	1107	1379	1612	1631	1861	2038	2290	2449	2778	3021	3703	4073	4613	4756	6757	6891	8994	13192	14785	29266	93600	388664	0
FFQ	91	66	0	9	284	399	362	322	307	306	327	343	372	444	498	446	482	570	640	716	715	869	913	970	1083	1144	1370	1569	1551	1864	2174	2271	2443	2765	3054	3777	4045	4705	4700	6951	6937	9054	13358	15109	29397	93718	387341	0
FFQ	92	4	0	19	266	342	331	327	324	312	369	309	361	392	510	447	508	599	556	701	740	881	929	1010	1124	1187	1383	1604	1577	1809	2172	2289	2404	2729	2984	3777	4024	4780	4700	6642	6915	9189	13554	14960	29448	93767	387485	0
FFQ	93	1	1	22	271	360	324	334	341	341	313	312	360	400	487	433	508	510	615	653	737	858	899	997	1123	1085	1426	1500	1574	1913	2047	2223	2361	2792	2986	3681	3914	4655	4746	7088	6838	9023	13881	14596	29201	94406	387604	0
FFQ	94	0	0	21	287	384	328	320	337	321	295	343	386	434	476	447	502	566	608	676	683	926	909	1031	1068	1093	1400	1549	1614	1816	2196	2286	2401	2747	2992	3835	4063	4612	4812	6919	6763	9285	13957	14761	29106	94332	386853	0
FFQ	95	10	1	15	265	386	344	335	300	301	322	320	364	417	508	511	508	576	571	709	791	849	923	1009	1150	1131	1414	1517	1584	1955	2113	2216	2434	2774	3055	3776	4053	4700	4877	7098	6802	9230	14285	14605	29362	95182	385092	0
FFQ	96	2	2	15	270	382	377	288	293	338	345	304	359	441	478	433	461	550	589	651	818	859	922	1042	1151	1116	1389	1545	1635	1904	2095	2288	2443	2865	2968	3845	4033	4863	4737	6930	6675	9182	14410	14673	29574	94570	385630	0
FFQ	97	0	0	15	266	417	370	323	314	307	315	321	386	398	483	452	527	568	640	689	753	897	873	1030	1101	1110	1457	1467	1685	1885	2184	2348	2306	2809	2940	3715	4076	4727	4876	6998	6641	9059	14374	14214	29438	95299	385687	0
FFQ	98	0	1	21	261	349	380	326	315	341	370	337	385	437	475	452	493	536	610	688	754	876	891	1035	1095	1194	1441	1481	1552	1826	2121	2204	2350	2781	3027	3791	3949	4631	4891	7052	6596	8903	14610	13880	29119	96670	385243	0
FFQ	99	0	0	17	234	386	383	313	297	308	366	351	368	430	475	473	485	552	594	657	745	849	876	1004	1093	1146	1382	1501	1555	1884	2246	2196	2443	2795	2971	3886	3981	4540	4742	7044	6584	8993	14870	13581	28717	95422	387005	0
FFQ	100	2	1	18	237	365	364	345	330	343	331	380	400	446	524	449	508	568	605	698	741	873	899	1086	1135	1206	1444	1530	1614	1835	2154	2213	2408	2766	2996	3655	3927	4629	4864	7048	6685	9062	15122	13850	28957	95301	385826	0
FFQ	101	2	0	20	246	414	344	337	353	348	344	355	397	443	445	484	498	560	654	681	745	865	892	1035	1181	1221	1396	1564	1636	1827	2075	2231	2566	2790	3075	3906	3989	4698	4981	7094	6640	9337	15318	13734	29363	97185	382471	0
